Variable,Measure,COU,Country,Year,Value
All causes of death,Number of total deaths,AUS,Australia,1993,120788
All causes of death,Number of total deaths,AUS,Australia,1994,126982
All causes of death,Number of total deaths,AUS,Australia,1995,125106
All causes of death,Number of total deaths,AUS,Australia,1996,128254
All causes of death,Number of total deaths,AUS,Australia,1997,128695
All causes of death,Number of total deaths,AUS,Australia,1998,127358
All causes of death,Number of total deaths,AUS,Australia,1999,128079
All causes of death,Number of total deaths,AUS,Australia,2000,128784
All causes of death,Number of total deaths,AUS,Australia,2001,128657
All causes of death,Number of total deaths,AUS,Australia,2002,133047
All causes of death,Number of total deaths,AUS,Australia,2003,131784
All causes of death,Number of total deaths,AUS,Australia,2004,132314
All causes of death,Number of total deaths,AUS,Australia,2006,133739
All causes of death,Number of total deaths,AUS,Australia,2007,137854
All causes of death,Number of total deaths,AUS,Australia,2008,143946
All causes of death,Number of total deaths,AUS,Australia,2009,140760
All causes of death,Number of total deaths,AUS,Australia,2010,143473
All causes of death,Number of total deaths,AUS,Australia,2011,146932
All causes of death,Number of total deaths,AUS,Australia,2012,147098
All causes of death,Number of total deaths,AUS,Australia,2013,147678
All causes of death,Number of total deaths,AUS,Australia,2014,153580
All causes of death,Number of total deaths,AUS,Australia,2015,159052
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1993,1506
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1994,1559
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1995,1564
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1996,1634
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1997,1448
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1998,1463
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,1999,1590
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2000,1658
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2001,1699
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2002,1776
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2003,1742
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2004,1801
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2006,1969
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2007,1857
Certain infectious and parasitic diseases,Number of total deaths,AUS,Australia,2008,1969
