"SUB","Subject","LOCATION","Country","YEA","Year","Value","Flag Codes","Flags"
"EVOPOP_T1","Population levels","FIN","Finland","1993","1993",5066.447,,
"EVOPOP_T1","Population levels","FIN","Finland","1994","1994",5088.333,,
"EVOPOP_T1","Population levels","FIN","Finland","1995","1995",5107.79,,
"EVOPOP_T1","Population levels","FIN","Finland","1996","1996",5124.573,,
"EVOPOP_T1","Population levels","FIN","Finland","1997","1997",5139.834,,
"EVOPOP_T1","Population levels","FIN","Finland","1998","1998",5153.497,,
"EVOPOP_T1","Population levels","FIN","Finland","1999","1999",5165.474,,
"EVOPOP_T1","Population levels","FIN","Finland","2000","2000",5176.208,,
"EVOPOP_T1","Population levels","FIN","Finland","2001","2001",5188.008,,
"EVOPOP_T1","Population levels","FIN","Finland","2002","2002",5200.598,,
"EVOPOP_T1","Population levels","FIN","Finland","2003","2003",5213.013,,
"EVOPOP_T1","Population levels","FIN","Finland","2004","2004",5228.171,,
"EVOPOP_T1","Population levels","FIN","Finland","2005","2005",5246.095,,
"EVOPOP_T1","Population levels","FIN","Finland","2006","2006",5266.267,,
"EVOPOP_T1","Population levels","FIN","Finland","2007","2007",5288.719,,
"EVOPOP_T1","Population levels","FIN","Finland","2008","2008",5313.399,,
"EVOPOP_T1","Population levels","FIN","Finland","2009","2009",5338.87,,
"EVOPOP_T1","Population levels","FIN","Finland","2010","2010",5363.351,,
"EVOPOP_T1","Population levels","FIN","Finland","2011","2011",5388,,
"EVOPOP_T1","Population levels","FIN","Finland","2012","2012",5430.392,,
"EVOPOP_T1","Population levels","FIN","Finland","2013","2013",5456.561,,
"EVOPOP_T1","Population levels","FIN","Finland","2014","2014",5482.662,,
"EVOPOP_T1","Population levels","FIN","Finland","2015","2015",5508.728,,
"EVOPOP_T1","Population levels","FIN","Finland","2016","2016",5534.615,,
"EVOPOP_T1","Population levels","FIN","Finland","2017","2017",5560.352,,
"EVOPOP_T1","Population levels","FIN","Finland","2018","2018",5585.853,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1993","1993",5325.305,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1994","1994",5346.331,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1995","1995",5361.998,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1996","1996",5373.361,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1997","1997",5383.291,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1998","1998",5390.516,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","1999","1999",5396.019,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2000","2000",5388.72,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2001","2001",5378.867,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2002","2002",5379.056,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2003","2003",5379.607,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2004","2004",5382.437,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2005","2005",5387.001,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2006","2006",5391.408,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2007","2007",5397.317,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2008","2008",5406.626,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2009","2009",5418.589,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2010","2010",5430.099,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2012","2012",5407.966,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2013","2013",5411.112,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2014","2014",5413.84,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2015","2015",5416.032,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2016","2016",5417.648,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2017","2017",5418.616,,
"EVOPOP_T1","Population levels","SVK","Slovak Republic","2018","2018",5418.845,,
"EVOPOP_T1","Population levels","ISL","Iceland","1993","1993",263.783,,
"EVOPOP_T1","Population levels","ISL","Iceland","1994","1994",266.006,,
"EVOPOP_T1","Population levels","ISL","Iceland","1995","1995",267.38,,
"EVOPOP_T1","Population levels","ISL","Iceland","1996","1996",268.927,,
"EVOPOP_T1","Population levels","ISL","Iceland","1997","1997",270.915,,
"EVOPOP_T1","Population levels","ISL","Iceland","1998","1998",273.794,,
"EVOPOP_T1","Population levels","ISL","Iceland","1999","1999",277.184,,
"EVOPOP_T1","Population levels","ISL","Iceland","2000","2000",281.154,,
"EVOPOP_T1","Population levels","ISL","Iceland","2001","2001",285.054,,
"EVOPOP_T1","Population levels","ISL","Iceland","2002","2002",287.559,,
"EVOPOP_T1","Population levels","ISL","Iceland","2003","2003",289.272,,
"EVOPOP_T1","Population levels","ISL","Iceland","2004","2004",292.587,,
"EVOPOP_T1","Population levels","ISL","Iceland","2005","2005",295.864,,
"EVOPOP_T1","Population levels","ISL","Iceland","2006","2006",304.334,,
"EVOPOP_T1","Population levels","ISL","Iceland","2007","2007",311.396,,
"EVOPOP_T1","Population levels","ISL","Iceland","2008","2008",319.355,,
"EVOPOP_T1","Population levels","ISL","Iceland","2009","2009",319.246,,
"EVOPOP_T1","Population levels","ISL","Iceland","2010","2010",318.006,,
"EVOPOP_T1","Population levels","ISL","Iceland","2011","2011",319.0135,,
"EVOPOP_T1","Population levels","ISL","Iceland","2012","2012",319.575,,
"EVOPOP_T1","Population levels","ISL","Iceland","2013","2013",322.086,,
"EVOPOP_T1","Population levels","ISL","Iceland","2014","2014",324.988,,
"EVOPOP_T1","Population levels","ISL","Iceland","2015","2015",328.062,,
"EVOPOP_T1","Population levels","ISL","Iceland","2016","2016",331.368,,
"EVOPOP_T1","Population levels","ISL","Iceland","2017","2017",334.838,,
"EVOPOP_T1","Population levels","ISL","Iceland","2018","2018",338.279,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1993","1993",1991.746,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1994","1994",1989.442,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1995","1995",1989.871,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1996","1996",1988.627,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1997","1997",1985.956,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1998","1998",1981.628,,
"EVOPOP_T1","Population levels","SVN","Slovenia","1999","1999",1983.044,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2000","2000",1988.924,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2001","2001",1992.06,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2002","2002",1994.529,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2003","2003",1995.733,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2004","2004",1997.011,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2005","2005",2000.474,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2006","2006",2006.867,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2007","2007",2010.323,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2008","2008",2021.315,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2009","2009",2039.669,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2010","2010",2048.582,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2012","2012",2039.627,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2013","2013",2043.666,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2014","2014",2048.169,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2015","2015",2053.07,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2016","2016",2054.766,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2017","2017",2057.481,,
"EVOPOP_T1","Population levels","SVN","Slovenia","2018","2018",2060.673,,
"EVOPOP_T1","Population levels","SWE","Sweden","1993","1993",8718.561,,
"EVOPOP_T1","Population levels","SWE","Sweden","1994","1994",8780.745,,
"EVOPOP_T1","Population levels","SWE","Sweden","1995","1995",8826.938,,
"EVOPOP_T1","Population levels","SWE","Sweden","1996","1996",8840.997,,
"EVOPOP_T1","Population levels","SWE","Sweden","1997","1997",8846.062,,
"EVOPOP_T1","Population levels","SWE","Sweden","1998","1998",8850.973,,
"EVOPOP_T1","Population levels","SWE","Sweden","1999","1999",8857.874,,
"EVOPOP_T1","Population levels","SWE","Sweden","2000","2000",8872.109,,
"EVOPOP_T1","Population levels","SWE","Sweden","2001","2001",8895.96,,
"EVOPOP_T1","Population levels","SWE","Sweden","2002","2002",8924.958,,
"EVOPOP_T1","Population levels","SWE","Sweden","2003","2003",8958.229,,
"EVOPOP_T1","Population levels","SWE","Sweden","2004","2004",8993.531,,
"EVOPOP_T1","Population levels","SWE","Sweden","2005","2005",9029.572,,
"EVOPOP_T1","Population levels","SWE","Sweden","2006","2006",9080.504,,
"EVOPOP_T1","Population levels","SWE","Sweden","2007","2007",9148.092,,
"EVOPOP_T1","Population levels","SWE","Sweden","2008","2008",9219.637,,
"EVOPOP_T1","Population levels","SWE","Sweden","2009","2009",9298.514,,
"EVOPOP_T1","Population levels","SWE","Sweden","2010","2010",9378.126,,
"EVOPOP_T1","Population levels","SWE","Sweden","2011","2011",9449,,
"EVOPOP_T1","Population levels","SWE","Sweden","2012","2012",9551,,
"EVOPOP_T1","Population levels","SWE","Sweden","2013","2013",9613,,
"EVOPOP_T1","Population levels","SWE","Sweden","2014","2014",9674,,
"EVOPOP_T1","Population levels","SWE","Sweden","2015","2015",9731,,
"EVOPOP_T1","Population levels","SWE","Sweden","2016","2016",9784,,
"EVOPOP_T1","Population levels","SWE","Sweden","2017","2017",9833,,
"EVOPOP_T1","Population levels","SWE","Sweden","2018","2018",9881,,
"EVOPOP_T1","Population levels","ITA","Italy","1993","1993",56831.82,,
"EVOPOP_T1","Population levels","ITA","Italy","1994","1994",56843.4,,
"EVOPOP_T1","Population levels","ITA","Italy","1995","1995",56844.3,,
"EVOPOP_T1","Population levels","ITA","Italy","1996","1996",56860.28,,
"EVOPOP_T1","Population levels","ITA","Italy","1997","1997",56890.37,,
"EVOPOP_T1","Population levels","ITA","Italy","1998","1998",56906.74,,
"EVOPOP_T1","Population levels","ITA","Italy","1999","1999",56916.32,,
"EVOPOP_T1","Population levels","ITA","Italy","2000","2000",56942.11,,
"EVOPOP_T1","Population levels","ITA","Italy","2001","2001",56977.22,,
"EVOPOP_T1","Population levels","ITA","Italy","2002","2002",57157.41,,
"EVOPOP_T1","Population levels","ITA","Italy","2003","2003",57604.66,,
"EVOPOP_T1","Population levels","ITA","Italy","2004","2004",58175.31,,
"EVOPOP_T1","Population levels","ITA","Italy","2005","2005",58607.04,,
"EVOPOP_T1","Population levels","ITA","Italy","2006","2006",58941.5,,
"EVOPOP_T1","Population levels","ITA","Italy","2007","2007",59375.29,,
"EVOPOP_T1","Population levels","ITA","Italy","2008","2008",59832.18,,
"EVOPOP_T1","Population levels","ITA","Italy","2009","2009",60192.7,,
"EVOPOP_T1","Population levels","ITA","Italy","2010","2010",60483.39,,
"EVOPOP_T1","Population levels","ITA","Italy","2012","2012",59100.81,,
"EVOPOP_T1","Population levels","ITA","Italy","2013","2013",59127.59,,
"EVOPOP_T1","Population levels","ITA","Italy","2014","2014",59140.91,,
"EVOPOP_T1","Population levels","ITA","Italy","2015","2015",59141.72,,
"EVOPOP_T1","Population levels","ITA","Italy","2016","2016",59131.93,,
"EVOPOP_T1","Population levels","ITA","Italy","2017","2017",59114.84,,
"EVOPOP_T1","Population levels","ITA","Italy","2018","2018",59088.48,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1993","1993",1092909,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1994","1994",1101416,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1995","1995",1109963,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1996","1996",1118073,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1997","1997",1126101,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1998","1998",1133804,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","1999","1999",1141654,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2000","2000",1149947,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2001","2001",1158225,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2002","2002",1166286,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2003","2003",1174295,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2004","2004",1181563,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2005","2005",1189545,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2006","2006",1197595,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2007","2007",1205851,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2008","2008",1214366,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2009","2009",1221954,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2010","2010",1229690,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2011","2011",1231746,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2012","2012",1240743,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2013","2013",1247492,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2014","2014",1254127,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2015","2015",1260630,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2016","2016",1266989,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2017","2017",1273219,,
"EVOPOP_T1","Population levels","OTO","OECD - Total","2018","2018",1279308,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1993","1993",10329.86,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1994","1994",10333.59,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1995","1995",10327.25,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1996","1996",10315.24,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1997","1997",10304.13,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1998","1998",10294.37,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","1999","1999",10283.86,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2000","2000",10272.32,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2001","2001",10236.49,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2002","2002",10204.85,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2003","2003",10207.36,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2004","2004",10216.02,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2005","2005",10235.83,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2006","2006",10269.13,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2007","2007",10334.16,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2008","2008",10424.34,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2009","2009",10487.18,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2010","2010",10519.79,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2012","2012",10292.11,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2013","2013",10296.63,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2014","2014",10299.79,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2015","2015",10301.52,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2016","2016",10301.82,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2017","2017",10300.64,,
"EVOPOP_T1","Population levels","CZE","Czech Republic","2018","2018",10297.93,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1993","1993",15290.37,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1994","1994",15382.84,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1995","1995",15459,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1996","1996",15530.5,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1997","1997",15610.65,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1998","1998",15707.21,,
"EVOPOP_T1","Population levels","NLD","Netherlands","1999","1999",15812.09,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2000","2000",15925.51,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2001","2001",16046.18,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2002","2002",16148.93,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2003","2003",16225.3,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2004","2004",16281.78,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2005","2005",16319.87,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2006","2006",16346.1,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2007","2007",16381.7,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2008","2008",16445.59,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2009","2009",16530.39,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2010","2010",16615.39,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2012","2012",16778.01,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2013","2013",16851,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2014","2014",16918.49,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2015","2015",16981.21,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2016","2016",17039.76,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2017","2017",17094.99,,
"EVOPOP_T1","Population levels","NLD","Netherlands","2018","2018",17146.83,,
"EVOPOP_T1","Population levels","USA","United States","1993","1993",259918.6,,
"EVOPOP_T1","Population levels","USA","United States","1994","1994",263125.8,,
"EVOPOP_T1","Population levels","USA","United States","1995","1995",266278.4,,
"EVOPOP_T1","Population levels","USA","United States","1996","1996",269394.3,,
"EVOPOP_T1","Population levels","USA","United States","1997","1997",272646.9,,
"EVOPOP_T1","Population levels","USA","United States","1998","1998",275854.1,,
"EVOPOP_T1","Population levels","USA","United States","1999","1999",279040.2,,
"EVOPOP_T1","Population levels","USA","United States","2000","2000",282162.4,,
"EVOPOP_T1","Population levels","USA","United States","2001","2001",284969,,
"EVOPOP_T1","Population levels","USA","United States","2002","2002",287625.2,,
"EVOPOP_T1","Population levels","USA","United States","2003","2003",290107.9,,
"EVOPOP_T1","Population levels","USA","United States","2004","2004",292805.3,,
"EVOPOP_T1","Population levels","USA","United States","2005","2005",295516.6,,
"EVOPOP_T1","Population levels","USA","United States","2006","2006",298379.9,,
"EVOPOP_T1","Population levels","USA","United States","2007","2007",301231.2,,
"EVOPOP_T1","Population levels","USA","United States","2008","2008",304094,,
"EVOPOP_T1","Population levels","USA","United States","2009","2009",306771.5,,
